,CustomerID,prob_churn,prob_not_churn,Final Prediction
2329,5150-ITWWB,0.8276285132950832,0.17237148670491675,1
698,6630-UJZMY,0.8274847148202832,0.17251528517971682,1
2755,3489-HHPFY,0.8245415001964249,0.17545849980357509,1
20,4929-XIHVW,0.8098994041580656,0.1901005958419344,1
1863,4927-WWOOZ,0.8081928860333135,0.19180711396668648,1
1272,7398-SKNQZ,0.8051676243923469,0.1948323756076531,1
3848,7668-XCFYV,0.8043112495440702,0.19568875045592982,1
2910,7225-CBZPL,0.8009838706857475,0.1990161293142525,1
2472,2545-EBUPK,0.8000814088481994,0.19991859115180055,1
3058,0187-QSXOE,0.7997238736562472,0.2002761263437528,1
1822,7994-UYIVZ,0.7949869448388588,0.2050130551611412,1
2976,8161-QYMTT,0.79487878675257,0.20512121324743005,1
3040,3452-GWUIN,0.7906967777471358,0.20930322225286424,1
4037,4912-PIGUY,0.7865584588915827,0.2134415411084173,1
4160,3096-GKWEB,0.781972269280616,0.21802773071938397,1
4298,2077-MPJQO,0.7758743188922255,0.22412568110777453,1
4142,9334-GWGOW,0.7742615241486265,0.22573847585137352,1
1843,8622-ZLFKO,0.7720735824555799,0.2279264175444201,1
3788,7577-SWIFR,0.7707071963188064,0.22929280368119365,1
3701,3320-VEOYC,0.7684405534895511,0.2315594465104489,1
256,0021-IKXGC,0.7663340695548739,0.23366593044512607,1
2529,9919-KNPOO,0.764459403086271,0.23554059691372897,1
1720,9121-PHQSR,0.7633727045186508,0.2366272954813492,1
1733,8739-XNIKG,0.7617908745581937,0.23820912544180628,1
1143,9957-YODKZ,0.760655682657963,0.23934431734203698,1
217,4847-TAJYI,0.7599577649722943,0.24004223502770572,1
3784,3295-YVUSR,0.7593997513293527,0.24060024867064733,1
1404,3318-NMQXL,0.758206498442939,0.24179350155706103,1
1495,8775-ERLNB,0.7568210515828525,0.2431789484171475,1
1273,5935-FCCNB,0.7541563552431307,0.24584364475686926,1
2584,9799-CAYJJ,0.7531793637291255,0.24682063627087447,1
1680,2754-SDJRD,0.7516373739170839,0.24836262608291615,1
3410,6350-XFYGW,0.7498516323934045,0.25014836760659553,1
262,4115-NZRKS,0.7491633741814859,0.25083662581851407,1
64,4445-ZJNMU,0.7484578360849179,0.2515421639150821,1
346,1452-VOQCH,0.7479051730662418,0.2520948269337582,1
4161,2371-JQHZZ,0.7473617227286277,0.25263827727137234,1
2418,4132-KALRO,0.7472549334503824,0.2527450665496176,1
1813,1197-BVMVG,0.7432664362084548,0.2567335637915452,1
1690,4813-HQMGZ,0.7386097030788873,0.2613902969211127,1
4681,6856-RAURS,0.7382525826952686,0.2617474173047314,1
5080,2215-ZAFGX,0.7381045742527189,0.2618954257472811,1
2845,0365-BZUWY,0.7376966812853012,0.2623033187146988,1
3159,7044-YAACC,0.735639817661397,0.26436018233860303,1
3300,2665-NPTGL,0.734380649612653,0.26561935038734696,1
4391,4853-OITSN,0.7340204157825923,0.26597958421740775,1
4302,2905-KFQUV,0.7336550566001644,0.2663449433998356,1
2861,4090-KPJIP,0.7331956666534704,0.26680433334652964,1
815,7363-QTBIW,0.7322788836730997,0.2677211163269003,1
4833,6969-MVBAI,0.7320106439916708,0.2679893560083292,1
4079,9279-CJEOJ,0.7318765040891467,0.26812349591085327,1
2607,2880-FPNAE,0.7306628915894378,0.26933710841056224,1
1177,7321-VGNKU,0.7306028358527816,0.26939716414721837,1
3859,4060-LDNLU,0.7304777757072961,0.2695222242927039,1
234,2799-ARNLO,0.7297397991855653,0.2702602008144347,1
5163,2235-DWLJU,0.7289766053628329,0.27102339463716707,1
807,7439-DKZTW,0.7260360916247116,0.2739639083752884,1
3275,4749-OJKQU,0.7249354051530134,0.27506459484698664,1
3111,8107-KNCIM,0.7238861089338938,0.2761138910661062,1
1117,6198-RTPMF,0.7226602818768124,0.2773397181231876,1
4194,0168-XZKBB,0.7209819330821672,0.2790180669178328,1
396,4234-XTNEA,0.7209814971859649,0.27901850281403506,1
3078,7858-GTZSP,0.7205906105764579,0.2794093894235421,1
3642,4298-OYIFC,0.7203976869218182,0.27960231307818184,1
2707,4633-MKHYU,0.7199269455099319,0.28007305449006814,1
100,2876-GZYZC,0.7185551753451117,0.2814448246548883,1
1736,2789-HQBOU,0.7163472113175581,0.2836527886824419,1
